"//Test","Index","HW_FETS","FHCR_FETS","FHCW_FETS","RWN","WDX","WDY","MODE","FLTMUX"
"DepMosRhSe!HR0P!V",0,1,0,0,1,1,0,0,"x"
"Cont!HW0X!V",0,1,0,0,"x","x","x","x","x"
"Cont!HT0X!V",0,1,0,0,"x","x","x","x","x"
"DepMosRhSe!HS0P!V",0,1,0,0,1,1,0,0,"x"
"PWR_On_REG!SPD!R",0,1,0,0,1,1,0,0,"x"
"SPD_Chk_20MHZ!SPD!R",0,1,0,0,1,1,0,0,"x"
"SPD_Chk_100MHZ1p8V!SPD!R",0,1,0,0,1,1,0,0,"x"
"POR!SPD!R",0,1,0,0,0,1,0,0,"x"
"Vendor_ID!SPD!R",0,1,0,0,1,1,0,0,"x"
"VOL^1p8v_2mA!SPD!S",0,0,0,0,0,"x","x","x","x"
"IIL_pu8k_1p8V^!RWn!S",0,0,0,0,1,"x","x","x","x"
"IIL_pu8k_2p5V^!RWn!S",0,0,0,0,1,"x","x","x","x"
"IIL_pu8k_3p3V^!RWn!S",0,0,0,0,1,"x","x","x","x"
"nion^1p8!SPD!V",0,0,0,0,0,1,"x","x","x"
"Rwd_in_Slp!WD!R",0,0,0,0,1,1,1,"x","x"
"DTemp_abs_Raw_Id!SPD!R",0,0,0,0,1,1,0,0,"x"
"VP33W^Wt!FLTMUX!R",0,0,0,0,1,1,0,0,"x"
"VP15_K0_WrtRegTune!FLTMUX!R",0,0,0,0,0,1,0,0,"x"
"LVt_NMOS_IOFF^!AMUX!V",0,1,0,0,1,1,0,0,"x"
"Fdg_K0_Target!FLTMUX!R",0,0,0,0,1,1,0,0,"x"
"Wtr_RunDataOscilator!FLTMUX!V",0,1,0,0,"x",1,0,0,"x"
"dVheat_ps_RANGE!HW0!S",0,1,0,0,0,1,0,0,"x"
"Icc_s^!VCC!S",0,1,1,0,1,1,0,0,"x"
"Icc_iw_wsby^!VCC!S_old",0,0,0,0,1,1,0,1,"x"
"Icc_iw_wps^!VCC!S_old",0,0,0,0,1,1,0,1,"x"
"Icc_sby_wsby^!VCC!S",0,0,0,0,1,1,0,1,"x"
"Icc_sby_wps^!VCC!S_old",0,0,0,0,1,1,0,1,"x"
"Icc_ir!VCC!S",0,0,0,0,0,0,0,0,"x"
"Icc_sr^!VCC!S",0,0,0,0,1,1,0,0,"x"
"Icc_r_wsby^!VCC!S",0,0,0,0,1,1,0,0,"x"
"Icc_r_wps^!VCC!S",0,0,0,0,1,1,0,0,"x"
"Icc_FHS^!VCC!S_old",0,0,0,0,1,1,0,0,"x"
"Icc_spw^!VCC!S",0,1,1,0,0,1,0,1,"x"
"Icc_w^DC_Hd0!VCC!S",0,1,1,0,0,1,0,0,"x"
"Icc_w^DC_Hd1!VCC!S_old",0,1,1,0,0,1,0,0,"x"
"Iee_w_stress!VEE!V",0,1,1,0,0,1,0,0,"x"
