.sequence 11 10 9 8 7 6 t1 5 4 3 2 1 0 t0
.timingset 2
// Activating the FHS state machine into Active state (combined with portion of prior vector)
X X X X X X 0 X X X X X 1 0 // RWN = 1 for 1000 cycle or 100uS *CAT (requirement = 30uS)
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0 // RWN = 1
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0 // RWN = 1
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0 // RWN = 1
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0 // RWN = 1
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0 // RWN = 1
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0 // RWN = 1
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0 // RWN = 1
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0 // RWN = 1
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0 // RWN = 1
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0 // RWN = 1
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 1 0
X X X X X X 0 X X X X X 0 0
X X X X X X 0 X X X X X 0 0 // trigger
