"//Vector File","Vector Set No"
"por_enable_h",0
"write_default_reg",1
"sdio_voh",2
"sdio_vol",3
"write_dietemp",4
"write_init_serial_ck_brd_1p8v",5
"write_init_serial_ck_brd_2p5v",6
"write_init_serial_ck_brd_3p3v",7
"write_p1_reg7_mode_active",8
"write_p1_reg7_mode_idle",9
"write_vit_vhys_1p8",10
"write_p1_reg7_mode_sleep",11
"read_i",12
"write_rout",13
"write_power_i",14
"write_ir_sup",15
"write_vr_hds_hr0",16
"write_vr_hds_hr1",17
"write_p1_reg5_bias_v_0",18
"write_p1_reg5_bias_v_64",19
"write_p1_reg5_bias_v_128",20
"write_p1_reg5_bias_v_192",21
"write_p1_reg5_bias_v_252",22
"write_reader_vocm_ibias",23
"write_init_gain_sup",24
"write_p1_reg1_hsel_0",25
"write_p1_reg1_hsel_1",26
"write_Iw_sup_init",27
"write_ro_hw0",28
"write_ro_hw1",29
"write_p2_reg14_writeroutz_0",30
"write_p2_reg14_writeroutz_1",31
"write_p2_reg14_writeroutz_2",32
"write_Iw_step_init_hw0",33
"write_Iw_step_init_hw1",34
"write_p1_reg2_iw_0",35
"write_p1_reg2_iw_1",36
"write_p1_reg2_iw_2",37
"write_p1_reg2_iw_4",38
"write_p1_reg2_iw_8",39
"write_p1_reg2_iw_16",40
"write_p1_reg2_iw_32",41
"write_p1_reg2_iw_63",42
"write_mrhv_ibias_rd_hr0",43
"write_mrhv_ibias_rd_hr1",44
"write_mrhv_wt_hr0",45
"write_mrhv_wt_hr1",46
"write_hsel0_ibias_dac0",47
"write_hsel0_ibias_dac1",48
"write_hsel0_ibias_dac2",49
"write_hsel0_ibias_dac3",50
"write_hsel0_ibias_dac4",51
"write_hsel0_ibias_dac5",52
"write_hsel0_ibias_dac6",53
"write_hsel0_ibias_dac7",54
"write_hsel0_ibias_dac8",55
"write_hsel0_ibias_dac9",56
"write_hsel0_ibias_dac10",57
"write_hsel0_ibias_dac11",58
"write_hsel0_ibias_dac12",59
"write_hsel1_ibias_dac0",60
"write_hsel1_ibias_dac1",61
"write_hsel1_ibias_dac2",62
"write_hsel1_ibias_dac3",63
"write_hsel1_ibias_dac4",64
"write_hsel1_ibias_dac5",65
"write_hsel1_ibias_dac6",66
"write_hsel1_ibias_dac7",67
"write_hsel1_ibias_dac8",68
"write_hsel1_ibias_dac9",69
"write_hsel1_ibias_dac10",70
"write_hsel1_ibias_dac11",71
"write_hsel1_ibias_dac12",72
"write_p1_reg4_readerinputz_0",73
"write_p1_reg4_readerinputz",74
"write_p1_reg4_readerinputz2",75
"write_p1_reg4_readerinputz3",76
"write_ir_hds_hr0",77
"write_ir_hds_hr1",78
"write_p1_reg6_p2_reg14_DeGaussDisable",79
"write_p1_reg7_wtr_off_SmartPwrRead",80
"write_power_3p3",81
"write_power_i",82
"write_power_sby_wsby",83
"write_p1_reg6_p2_reg14_DeGaussEnable",84
"write_iw_wsby",85
"write_iw_wps",86
"write_icc_r_wps",87
"write_icc_FHS",88
"write_icc_w",89
"write_osd_spd",90
"write_p1_reg3_osd_0",91
"write_p1_reg3_osd_1",92
"write_p1_reg3_osd_2",93
"write_p1_reg3_osd_4",94
"write_p1_reg3_osd_8",95
"write_p1_reg3_osd_16",96
"write_p1_reg3_osd_31",97
"write_sbhi_init",98
"write_p2_reg2_fhs_bias_v_16",99
"write_p2_reg2_fhs_bias_v_32",100
"write_p2_reg2_fhs_bias_v_63",101
"write_p1_reg15_b1b2b6",102
"write_vp15_k0_wrtregtune",103
"write_vn15_k0_wrtregtune",104
"write_amux_volt_vinpbias",105
"write_amux_volt_vp33wh_rd",106
"write_amux_volt_vp33r",107
"write_amux_volt_vn33_vcc_wt",108
"write_amux_volt_vn33_vcc_rd",109
"write_amux_volt_vn33_vcc_id",110
"write_amux_volt_vp33w_rd",111
"write_amux_volt_vp33w_wt",112
"write_amux_volt_vp33wh_wt",113
"write_amux_volt_vp33w_slp",114
"write_amux_volt_vp33ptn",115
"write_hsel_0",116
"write_hsel_1",117
"write_rdbhv_hr0",118
"write_rdbhv_hr1",119
"write_wdbhv_init",120
"write_adc_hi",121
"write_adc_lo",122
"write_wbhv_hr0",123
"write_wbhv_hr1",124
"write_iss_6",125
"write_rbhv_hr0",126
"write_rbhv_hr1",127
"write_rbhv_40mv",128
"write_rbhv_60mv",129
"write_rbhv_80mv",130
"write_rbhv_100mv",131
"write_rbhv_120mv",132
"write_rbhv_140mv",133
"write_rbhv_160mv",134
"write_rbhv_180mv",135
"write_rbhv_215mv",136
"write_rbhv_vos",137
"write_rbhv_vosc",138
"bias_i_7",139
"bias_i_45",140
"bias_v_0",141
"bias_v_63",142
"write_rdbhi_hr0",143
"write_rdbhi_hr1",144
"write_rdbhvc_hr0",145
"write_rdbhvc_hr1",146
"write_p1_reg5_bias_v_242",147
"write_p1_reg5_bias_v_121",148
"write_mrhv_id_hr0",149
"write_mrhv_id_hr1",150
"write_p1_reg5_bias_i_15_imroffsetN_1",151
"write_p1_reg5_bias_i_18_imroffsetN_0",152
"write_p1_reg5_bias_i_45_imroffsetN_1",153
"write_p1_reg5_bias_i_49_imroffsetN_0",154
"write_p1_reg5_bias_i_76_imroffsetN_1",155
"write_fhcr_init",156
"write_p1_reg7_digon",157
"write_autocalreset_hsel_0",158
"write_autocalreset_hsel_1",159
"write_calsuccess",160
"write_autocalresult_hsel_0",161
"write_autocalresult_hsel_1",162
"read_p1_reg0",163
"read_p1_reg1",164
"read_p1_reg2",165
"read_p1_reg3",166
"read_p1_reg4",167
"read_p1_reg5",168
"read_p1_reg6",169
"read_p1_reg7",170
"read_p1_reg8",171
"read_p1_reg9",172
"read_p1_reg10",173
"read_p1_reg11",174
"read_p1_reg12",175
"read_p1_reg13",176
"read_p1_reg14",177
"read_p1_reg15",178
"read_p2_reg0",179
"read_p2_reg1",180
"read_p2_reg2",181
"read_p2_reg3",182
"read_p2_reg4",183
"read_p2_reg5",184
"read_p2_reg6",185
"read_p2_reg7",186
"read_p2_reg8",187
"read_p2_reg9",188
"read_p2_reg10",189
"read_p2_reg11",190
"read_p2_reg12",191
"read_p2_reg13",192
"read_p2_reg14",193
"read_p2_reg15",194
"read_p4_reg0",195
"read_p4_reg1",196
"read_p4_reg2",197
"read_p4_reg3",198
"read_p4_reg4",199
"read_p4_reg5",200
"read_p4_reg6",201
"read_p4_reg7",202
"read_p4_reg8",203
"read_p4_reg9",204
"read_p4_reg10",205
"read_p4_reg11",206
"read_p4_reg12",207
"read_p4_reg13",208
"read_p4_reg14",209
"read_p4_reg15",210
"read_p3_reg5",211
"write_heater_sup",212
"write_p1_reg1_hsel0",213
"write_p1_reg1_hsel1",214
"write_p1_reg1_unsel_hsel0",215
"write_p1_reg1_unsel_hsel1",216
"write_amux_curr_lvt_nmos_ioff",217
"write_p3_reg9_rwtesta_64",218
"write_p3_reg9_rwtesta_128",219
"write_p3_reg9_rwtesta_0",220
"write_amux_curr_inp25",221
"write_amux_curr_ibptest",222
"write_amux_curr_pnpbeta",223
"write_amux_curr_npnbeta",224
"write_icc_r_wsb",225
"write_iw_spw",226
"write_power_spw",227
"write_power_w_ac0",228
"write_power_w_ac1",229
"write_power_w_dc0",230
"write_power_w_dc1",231
"write_sby_wps_wrtpwrsave_disable",232
"write_sby_wps_wrtpwrsave_enable",233
"write_p1_reg5_bias_v_80",234
"write_p1_reg5_bias_v_161",235
"write_dgf_00_400Mbps",236
"write_dgf_01_650Mbps",237
"write_dgf_02_800Mbps",238
"write_dgf_03_1100Mbps",239
"write_dgf_04_1600Mbps",240
"write_dgf_05_2200Mbps",241
"write_dgf_06_2500Mbps",242
"write_dgf_07_3300Mbps",243
"write_dgf_maxfreq",244
"write_dgf_minfreq",245
"write_adietemp",246
"write_heater_slew_pt_h0",247
"write_p2_reg14_slew_0",248
"write_p2_reg14_slew_1",249
"write_heater_hds_pt_prng0_h0",250
"write_heater_hds_pt_prng0_h1",251
"write_heater_hds_pt_prng1_h0",252
"write_heater_hds_pt_prng1_h1",253
"write_heater_hds_vt_h0",254
"write_heater_hds_vt_h1",255
"write_heater_rng0_r_k16",256
"write_heater_rng0_r_k32",257
"write_heater_rng0_r_k64",258
"write_heater_rng0_r_k128",259
"write_heater_rng0_r_k129",260
"write_heater_rng0_r_k130",261
"write_heater_rng0_r_k132",262
"write_heater_rng0_r_k136",263
"write_heater_rng0_r_k198",264
"write_heater_rng0_r_k255",265
"write_hsel0_ibias_dac8_zdin0",266
"write_hsel0_ibias_dac8_zdin1",267
"write_hsel0_ibias_dac8_zdin2",268
